,title,casts
195,方世玉,"李连杰,萧芳芳,陈松勇,李嘉欣,胡慧中,赵文卓,朱江,郑少秋,郭涛,高西安,刘金山,俞立文,刘红梅,杨青,潘粤明"
196,巡弋悍将,"韦斯利·斯奈普斯,布鲁斯·佩恩,汤姆·塞兹摩尔,Alex,Datcher,布鲁斯·格林伍德,罗伯特·胡克斯,伊丽莎白·赫利,迈克尔·霍斯,马克·麦考利,Ernie,Lively,Duchess,Tomasello,William,Edward,Roberts,James,Short,Joel,Fogel,Jane,McPherson,Lou,Bedford,Zachary,McLemore,汤姆·诺维茨基,丹尼斯莱茨,布雷特·赖斯,迈克·阿格雷斯塔,Brock,Burnett,Angelina,Ripos"
197,黑雨,"迈克尔·道格拉斯,安迪·加西亚,高仓健,凯特·卡普肖,松田优作,若山富三郎"
198,英雄本色,"周润发,狄龙,张国荣,朱宝意,李子雄,田丰,吴宇森,曾江,成奎安,徐克,陈志辉"
199,火爆行动,"刘家辉,梁家仁,周秀兰"
200,超速悍将,"LorenzoLamas,MatthiasHues,CyndiPass,EricMansker,BrooksGardner"
201,赌煞,"胡慧中,万梓良,方中信,西协美智子"
202,同根生,"刘德华,林威,温碧霞,陈惠敏,谷峰,冼灝英,沈威"
203,拳击,"谷峰,狄龙,姜大卫,井莉"
204,风流铁汉,内详
205,英雄本色2,"狄龙,张国荣,周润发,石天"
206,独臂刀王,"王羽,焦姣,谷峰,田丰,郑雷"
207,性感野兽,"雷·温斯顿,本·金斯利,伊恩·麦柯肖恩"
208,仇连环,"陈观泰,王钟,井莉,田青"
209,卡桑德拉大桥,"索菲娅·罗兰,理查德·哈里斯,马丁·辛,O·J·辛普森,莱昂内尔·斯坦德,安·托克尔,英格丽·图林,李·斯特拉斯伯格,艾娃·加德纳,伯特·兰卡斯特,洛乌·卡斯特尔,约翰·菲利浦·劳,雷·洛夫洛克,阿莉达·瓦利,斯蒂法诺·帕特里兹,托马斯·亨特,福斯塔·阿韦利,安琪拉·古德温,约翰·P·杜拉尼"
210,捍卫机密,"基努·里维斯,迪娜·迈耶,北野武"
211,倚天屠龙记大结局,"尔冬升,王戎,余安安,罗烈"
212,独臂刀,"王羽,潘迎紫,焦姣,田丰"
213,神偷次世代,"黎明,舒淇,陈小春,李灿森,郑雪儿,尹子维,龙刚,杜德伟,王合喜"
214,无名英雄,"姜大卫,狄龙,井莉,井淼,谷峰"
215,水浒传之英雄本色,"王祖贤,梁家辉,徐锦江,刘青云,林威,午马,单立文"
